,Nuclide,G,X,AQ,B+,B-,IE,AE,A,AR,FF,N
0,Ac-223,0.014862975435000002,0.004175070721875827,0.0,0.0,0.0,0.021391424412858795,0.00397249379120075,6.5523541893423936,0.1197554177472365,0.0,0.0
1,Ac-224,0.1546651878672211,0.07782413212698423,0.0,0.0,0.0,0.03513613930108309,0.013877882488805815,0.5561063846458791,0.0101175884070557,0.0,0.0
2,Ac-225,0.010434523603199996,0.006651723674598739,0.0,0.0,0.0,0.019795471571499027,0.004968999748500021,5.787177169593311,0.104813431959716,0.0,0.0
3,Ac-226,0.1143070433559848,0.01840727842403704,0.0,0.0,0.2593537425886533,0.026884751018915392,0.00519755690056698,0.0003239196,5.8401900000000006e-06,0.0,0.0
4,Ac-227,8.433614808383998e-05,0.0009665540548535284,0.0,0.0,0.0097372511180602,0.0033754701497620944,0.0019073649924461291,0.0680507312032457,0.0012214349935401275,0.0,0.0
5,Ac-228,0.8544864185819004,0.012656758026856783,0.0,0.0,0.37666951581995883,0.06494359189824223,0.0078454437168747,0.0,0.0,0.0,0.0
6,Ac-230,0.5390815703580001,0.004882533636780676,0.0,0.0,0.8871950153098891,0.031772334722062485,0.0038917724817509,0.0,0.0,0.0,0.0
7,Ac-231,0.37056662136,0.04841576382845748,0.0,0.0,0.5425228275462,0.08582354419073139,0.0077098266128724,0.0,0.0,0.0,0.0
8,Ac-232,1.1475811035057002,0.00521163784666445,0.0,0.0,0.9288371912792,0.03673062236534318,0.005123729495105401,0.0,0.0,0.0,0.0
9,Ac-233,0.4977975591439999,0.0014639649383277437,0.0,0.0,0.82109205,0.012441157166466599,0.00197452073842505,0.0,0.0,0.0,0.0
10,Ag-100m,1.861401458,0.0009552752844414783,0.96246339,1.9040807164554003,0.0,0.002374803902013981,0.00036426478620732,0.0,0.0,0.0,0.0
11,Ag-101,0.8268909770279997,0.005324180674262366,0.73809862,0.8293682971466287,0.0,0.008151836747988757,0.0020389174797502,0.0,0.0,0.0,0.0
12,Ag-102m,1.6340805896953703,0.0026286948573847166,0.356587042,0.38990732641492,0.0,0.004348643848270463,0.00212861287474064,0.0,0.0,0.0,0.0
13,Ag-102,2.653271988,0.004202739400469254,0.75171166,0.83737450225339,0.0,0.0040165235300224835,0.0016031451353718,0.0,0.0,0.0,0.0
14,Ag-103,0.54958633175,0.013116213633268621,0.281262576,0.1778407802107046,0.0,0.014410056884328814,0.0050058569393408,0.0,0.0,0.0,0.0
15,Ag-104,2.533413860600001,0.013205306688069905,0.15996701700000002,0.08150947895259746,0.0,0.005111743998340726,0.005041068318675,0.0,0.0,0.0,0.0
16,Ag-104m,1.1645188451041526,0.005931694927533643,0.63422254,0.7283932148683135,0.0,0.00241497774193471,0.002266180167663984,0.0,0.0,0.0,0.0
17,Ag-105,0.4958218859598,0.017983977026345896,0.0,0.0,0.0,0.012274516176851002,0.0068824897925514,0.0,0.0,0.0,0.0
18,Ag-105m,0.0009832542453744,0.00027380948986758304,4.0855983e-06,6.507294717e-07,0.0,0.022590678918955373,0.0026159490663164014,0.0,0.0,0.0,0.0
19,Ag-106,0.09492108447469647,0.006288752024868269,0.5984321,0.49325332729480226,0.00053555,0.00047988643074246904,0.0023991950972476,0.0,0.0,0.0,0.0
20,Ag-106m,2.7937486711854995,0.015378555167777011,0.0,0.0,0.0,0.0071877769411597455,0.005932022462229799,0.0,0.0,0.0,0.0
21,Ag-108,0.015221718384678002,0.00039890201058681124,0.00293217421,0.0011396789859072,0.6057282163852001,6.207086188202748e-05,0.00015224710812326432,0.0,0.0,0.0,0.0
22,Ag-108m,1.6064492905817556,0.014430702412230403,0.0,0.0,0.0,0.01015049796147435,0.00576335374062611,0.0,0.0,0.0,0.0
23,Ag-109m,0.0031644557856,0.007916690671555949,0.0,0.0,0.0,0.07285054936068,0.004104818674656069,0.0,0.0,0.0,0.0
24,Ag-110,0.030655145887530003,4.890878912347499e-05,0.0,0.0,1.1810940047874317,9.303584363015446e-05,1.859718916491787e-05,0.0,0.0,0.0,0.0
25,Ag-110m,2.7602766337870026,0.00028990079888501505,0.0,0.0,0.06916263312728331,0.006487310457139191,0.00011666983561055208,0.0,0.0,0.0,0.0
26,Ag-111,0.0264374279172,4.6165249739788056e-05,0.0,0.0,0.3532512310366089,0.000614567566006617,1.5843505850097636e-05,0.0,0.0,0.0,0.0
27,Ag-111m,0.0034489275083399995,0.00441786847419026,0.0,0.0,0.00145511059849,0.051846484876605335,0.0034756033971597125,0.0,0.0,0.0,0.0
28,Ag-112,0.6904382376,4.421932733887253e-05,0.0,0.0,1.352662076031965,0.0013230928508520215,1.5262941149968154e-05,0.0,0.0,0.0,0.0
29,Ag-113m,0.21190123021399998,0.0015069962328781268,0.0,0.0,0.19592064509432,0.029647661701598337,0.002224032287483085,0.0,0.0,0.0,0.0
30,Ag-113,0.07186252299999998,8.248945617704448e-05,0.0,0.0,0.7600267358252419,0.0013339533076734103,4.089332342649135e-05,0.0,0.0,0.0,0.0
31,Ag-114,0.258896566872,2.0466461688129103e-05,0.0,0.0,2.108469919142273,0.000664008703590083,6.997500723353012e-06,0.0,0.0,0.0,0.0
32,Ag-115,0.4826770668000001,0.00046727444381404096,0.0,0.0,1.0873431128992372,0.0053109710699626765,0.00016119879338264163,0.0,0.0,0.0,0.0
33,Ag-116,2.1469510453599994,0.0003871132770071859,0.0,0.0,1.7494872662038001,0.00439839131430497,0.00014633130084491463,0.0,0.0,0.0,0.0
